HAUL_CYCLE_REC_IDENT,LOAD_START_TIMESTAMP,LOADING_EASTING,LOADING_NORTHING,LOADING_ELEVATION,LOAD_LOCATION_SNAME,BLOCK_SNAME,DUMP_LOCATION_SNAME
2688916,39:18.0,798738.3918,7513236.911,NULL,ROM1_2_15_8,NULL,CRUSHER3
2688922,46:27.0,803941.7085,7511028.297,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2688933,47:00.0,798991.8339,7513157.275,NULL,ROM1_2_11_12,NULL,CRUSHER3
2688950,59:43.0,804574.9732,7511573.512,NULL,ROM2_3_34_28,NULL,CRUSHER1
2688962,05:03.0,798733.7843,7513246.124,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689023,35:19.0,798990.2243,7513157.963,NULL,ROM1_2_11_12,NULL,CRUSHER3
2689033,46:28.0,806854.639,7508750.609,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689036,41:00.0,798989.6089,7513157.38,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689056,20:38.0,805706.9963,7512500.813,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2689058,58:44.0,806851.3824,7508747.248,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689080,10:27.0,806844.0368,7508739.827,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689113,17:34.0,804501.5648,7511565.852,NULL,ROM2_3_34_28,NULL,CRUSHER1
2689136,29:32.0,805706.9963,7512500.813,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2689139,26:36.0,803867.6193,7511326.223,NULL,ROM2_3_41_18,NULL,CRUSHER1
2689161,44:03.0,806842.2576,7508731.026,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689165,46:16.0,806842.1338,7508731.185,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689167,38:35.0,798726.7172,7513252.381,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689190,48:48.0,804510.4445,7511569.532,NULL,ROM2_3_34_28,NULL,CRUSHER1
2689195,20:35.0,806847.5641,7508730.594,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689222,02:04.0,798720.8736,7513250.256,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689227,02:59.0,803867.9434,7511329.384,NULL,ROM2_3_41_18,NULL,CRUSHER1
2689238,11:12.0,804512.521,7511565.977,NULL,ROM2_3_34_28,NULL,CRUSHER1
2689242,35:06.0,803939.4692,7511118.159,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2689260,25:38.0,806849.9262,7508733.312,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689263,23:09.0,804516.5386,7511571.668,NULL,ROM2_3_34_28,NULL,CRUSHER1
2689287,46:44.0,804231.9157,7510348.015,NULL,ROM2_1_9_28,NULL,CRUSHER1
2689300,42:19.0,798973.4419,7513165.105,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689333,55:15.0,803944.9037,7511125.164,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2689368,05:21.0,798966.9751,7513169.203,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689385,16:25.0,804526.6445,7511565.589,NULL,ROM2_3_34_28,NULL,CRUSHER1
2689391,14:25.0,798720.32,7513249.479,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689399,17:09.0,803948.8273,7511121.638,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2689404,19:26.0,804230.4198,7510359.585,NULL,ROM2_1_9_28,NULL,CRUSHER1
2689478,46:36.0,803952.5985,7511100.828,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2689489,51:19.0,803942.1424,7511086.121,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2689491,51:59.0,798958.1619,7513170.387,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689591,54:45.0,804232.084,7510351.476,NULL,ROM2_1_9_28,NULL,CRUSHER1
2689622,11:26.0,804230.4669,7510368.712,NULL,ROM2_1_9_28,NULL,CRUSHER1
2689624,15:32.0,804226.8825,7510363.214,NULL,ROM2_1_9_28,NULL,CRUSHER1
2689633,15:54.0,798945.9521,7513167.986,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689681,39:32.0,804223.1832,7510373.005,NULL,ROM2_1_9_28,NULL,CRUSHER1
2689713,56:25.0,806862.5019,7508742.9,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689717,08:35.0,806866.139,7508746.673,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689720,33:33.0,798933.1564,7513179.138,NULL,ROM1_2_11_12,NULL,CRUSHER3
2689723,00:28.0,806863.5223,7508745.024,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689735,09:38.0,806876.3372,7508755.924,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER2
2689744,11:22.0,806866.9671,7508747.007,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2689792,25:07.0,804220.2141,7510399.483,NULL,ROM2_1_9_28,NULL,CRUSHER2
2689836,45:31.0,804573.9687,7511571.241,NULL,ROM2_3_34_28,NULL,CRUSHER2
2689837,41:29.0,804568.6034,7511571.206,NULL,ROM2_3_34_28,NULL,CRUSHER1
2689878,56:19.0,804571.894,7511576.545,NULL,ROM2_3_34_28,NULL,CRUSHER1
2689888,58:29.0,804214.0993,7510422.11,NULL,ROM2_1_9_28,NULL,CRUSHER2
2689891,02:10.0,804212.4437,7510429.124,NULL,ROM2_1_9_28,NULL,CRUSHER1
2689893,01:30.0,798751.5882,7513242.174,NULL,ROM1_2_15_8,NULL,CRUSHER3
2689899,54:50.0,805654.1285,7512505.188,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2689902,04:44.0,804581.7688,7511577.156,NULL,ROM2_3_34_28,NULL,CRUSHER2
2689936,15:05.0,804597.7471,7511572.243,NULL,ROM2_3_34_28,NULL,CRUSHER2
2689939,34:00.0,806879.4458,7508759.235,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER2
2689957,26:22.0,806878.3776,7508758.164,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER2
2690053,37:15.0,806891.714,7508755.287,NULL,G101_420_803_424,G101_420_803_424_SIH_7,CRUSHER1
2690067,59:26.0,804190.2086,7510462.167,NULL,ROM2_1_9_28,NULL,CRUSHER1
2690069,58:21.0,798942.1928,7513181.099,NULL,ROM1_2_11_12,NULL,CRUSHER3
2690087,15:36.0,804188.137,7510475.803,NULL,ROM2_1_9_28,NULL,CRUSHER2
2690101,25:44.0,805656.6801,7512504.875,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2690124,23:20.0,804537.7742,7511571.898,NULL,ROM2_3_34_28,NULL,CRUSHER1
2690136,30:22.0,798938.5526,7513183.408,NULL,ROM1_2_15_8,NULL,CRUSHER3
2690155,37:02.0,798727.206,7513247.752,NULL,ROM1_2_15_8,NULL,CRUSHER3
2690174,03:20.0,806901.12,7508796.221,NULL,G101_420_803_424,G101_420_803_424_BAH_6,CRUSHER1
2690187,50:14.0,805659.4665,7512503.957,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2690195,01:06.0,805659.3427,7512504.198,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2690225,03:26.0,806885.1072,7508737.083,NULL,G101_420_803_424,G101_420_803_424_CLH_2,CRUSHER1
2690236,11:08.0,805660.4016,7512504.558,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2690238,08:12.0,806884.06,7508736.461,NULL,G101_420_803_424,G101_420_803_424_CLH_2,CRUSHER2
2690264,17:55.0,806880.4631,7508732.84,NULL,G101_420_803_424,G101_420_803_424_CLH_2,CRUSHER2
